"sku","_store","_attribute_set","_type","_product_websites","name","description","short_description","price","special_price","special_from_date","special_to_date","cost","weight","manufacturer","meta_title","meta_keyword","meta_description","image","small_image","thumbnail","media_gallery","color","news_from_date","news_to_date","gallery","status","url_key","url_path","minimal_price","visibility","custom_design","custom_design_from","custom_design_to","custom_layout_update","page_layout","options_container","required_options","has_options","image_label","small_image_label","thumbnail_label","created_at","updated_at","country_of_manufacture","msrp_enabled","msrp_display_actual_price_type","msrp","tax_class_id","gift_message_available","is_imported","born_on","gender","sale_date","sale_status","naya_call_for_price_enable","naya_call_for_price_text","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","stock_status_changed_auto","use_config_qty_increments","qty_increments","use_config_enable_qty_inc","enable_qty_increments","is_decimal_divided","_links_related_sku","_links_related_position","_links_crosssell_sku","_links_crosssell_position","_links_upsell_sku","_links_upsell_position","_associated_sku","_associated_default_qty","_associated_position","_tier_price_website","_tier_price_customer_group","_tier_price_qty","_tier_price_price","_group_price_website","_group_price_customer_group","_group_price_price","_media_attribute_id","_media_image","_media_lable","_media_position","_media_is_disabled"
1095,,"Default","simple","base","chihuahua"," General Appearance

A graceful, alert, swift-moving compact little dog with saucy expression, and with terrier-like qualities of temperament

Size, Proportion, Substance

Weight – A well balanced little dog not to exceed 6 pounds. Proportion – The body is off-square; hence, slightly longer when measured from point of shoulder to point of buttocks, than height at the withers. Somewhat shorter bodies are preferred in males. Disqualification – Any dog over 6 pounds in weight.

Head

A well rounded ""apple dome"" skull, with or without molera. Expression – Saucy. Eyes - Full, round, but not protruding, balanced, set well apart-luminous dark or luminous ruby. Light eyes in blond or white-colored dogs permissible. Blue eyes or a difference in the color of the iris in the two eyes, or two different colors within one iris should be considered a serious fault. Ears – Large, erect type ears, held more upright when alert, but flaring to the sides at a 45 degree angle when in repose, giving breadth between the ears. Stop – Well defined. When viewed in profile, it forms a near 90 degree angle where muzzle joins skull. Muzzle – Moderately short, slightly pointed. Cheeks and jaws lean. Nose – Self-colored in blond types, or black. In moles, blues, and chocolates, they are self-colored. In blond types, pink noses permissible. Bite – Level or scissors. Overshot or undershot, or any distortion of the bite or jaw, should be penalized as a serious fault. A missing tooth or two is permissible. Disqualifications – Broken down or cropped ears.

Neck, Topline, Body

Neck – Slightly arched, gracefully sloping into lean shoulders. Topline – Level. Body – Ribs rounded and well sprung (but not too much ""barrel-shaped""). Tail – Moderately long, carried sickle either up or out, or in a loop over the back with tip just touching the back. (Never tucked between legs.) Disqualifications – Docked tail, bobtail.

Forequarters

Shoulders – Lean, sloping into a slightly broadening support above straight forelegs that set well under, giving free movement at the elbows. Shoulders should be well up, giving balance and soundness, sloping into a level back (never down or low). This gives a well developed chest and strength of forequarters. Feet – A small, dainty foot with toes well split up but not spread, pads cushioned. (Neither the hare nor the cat foot.) Dewclaws may be removed. Pasterns – Strong.

Hindquarters

Muscular, with hocks well apart, neither out nor in, well let down, firm and sturdy. Angulation – Should equal that of forequarters. The feet are as in front. Dewclaws may be removed.

Coat

In the Smooth Coats, the coat should be of soft texture, close and glossy. (Heavier coats with undercoats permissible.) Coat placed well over body with ruff on neck preferred, and more scanty on head and ears. Hair on tail preferred furry. In Long Coats, the coat should be of a soft texture, either flat or slightly wavy, with undercoat preferred. Ears – Fringed. Tail – Full and long (as a plume). Feathering on feet and legs, pants on hind legs and large ruff on the neck desired and preferred. (The Chihuahua should be groomed only to create a neat appearance.) Disqualification – In Long Coats, too thin coat that resembles bareness.

Color

Any color - Solid, marked or splashed.

Gait

The Chihuahua should move swiftly with a firm, sturdy action, with good reach in front equal to the drive from the rear. From the rear, the hocks remain parallel to each other, and the foot fall of the rear legs follows directly behind that of the forelegs. The legs, both front and rear, will tend to converge slightly toward a central line of gravity as speed increases. The side view shows good, strong drive in the rear and plenty of reach in the front, with head carried high. The topline should remain firm and the backline level as the dog moves.

Temperament

Alert, projecting the ‘terrier-like’ attitudes of self importance, confidence, self-reliance.

Disqualifications

Any dog over 6 pounds in weight. Broken down or cropped ears. Docked tail, bobtail. In Long Coats, too thin coat that resembles bareness."," A graceful, alert, swift-moving compact little dog with saucy expression, and with terrier-like qualities of temperament",1700,,,,,1,,,,,"/1/0/1095_chihuahua.jpg","/1/0/1095_chihuahua.jpg","/1/0/1095_chihuahua.jpg",,,,,,1,"chihuahua","chihuahua-14.html",,4,,,,,,"Block after Info Column",0,0,,,,01/10/17 08:17 AM,01/11/17 02:41 AM,,"Use config","Use config",,0,,"No",09/01/16,"M",12/29/16 12:00 AM,"sold",1,,0,0,1,0,0,1,1,1,10000,1,0,1,1,1,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,80,"/1/0/1095_chihuahua.jpg",,1,0
,"default",,,,,,,,,,,,,,,,,,,,,,,,,,,"chihuahua-15.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,,"Default","simple","base","cock a poo"," cock a poo"," cock a poo",1650,,,,,1,,,,,"/1/1/1124_cock-a-poo1.jpg","/1/1/1124_cock-a-poo1.jpg","/1/1/1124_cock-a-poo1.jpg",,,,,,1,"cock-a-poo","cock-a-poo-16.html",,4,,,,,,"Block after Info Column",0,0,,,,01/10/17 08:17 AM,01/10/17 09:14 PM,,"Use config","Use config",,0,,"No",09/20/16,"F",,"for_sale",1,,1,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,80,"/1/1/1124_cock-a-poo1.jpg",,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,"/1/1/1124_cock-a-poo2.jpg",,2,0
,"default",,,,,,,,,,,,,,,,,,,,,,,,,,,"cock-a-poo-18.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,,"Default","simple","base","cock a poo","cock a poo "," cock a poo",1650,,,,,1,,,,,"/1/1/1125_cockapoo.jpg","/1/1/1125_cockapoo.jpg","/1/1/1125_cockapoo.jpg",,,,,,1,"cock-a-poo","cock-a-poo-17.html",,4,,,,,,"Block after Info Column",0,0,,,,01/10/17 08:17 AM,01/11/17 07:30 PM,,"Use config","Use config",,0,,"No",09/20/16,"F",,"for_sale",1,,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,80,"/1/1/1125_cockapoo.jpg",,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"default",,,,,,,,,,,,,,,,,,,,,,,,,,,"cock-a-poo.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,,"Default","simple","base","cocker spaniel"," cocker spaniel","cocker spaniel ",1750,,,,,1,,,,,"/1/1/1154_cocker.jpg","/1/1/1154_cocker.jpg","/1/1/1154_cocker.jpg",,,,,,1,"cocker-spaniel","cocker-spaniel-17.html",,4,,,,,,"Block after Info Column",0,0,,,,01/10/17 08:17 AM,01/11/17 07:54 PM,,"Use config","Use config",,0,,"No",10/03/16,"F",,"for_sale",1,,1,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,80,"/1/1/1154_cocker.jpg",,1,0
,"default",,,,,,,,,,,,,,,,,,,,,,,,,,,"cocker-spaniel-18.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,,"Default","simple",,"corgi"," "," ",1500,,,,,1,,,,,,,,,,,,,1,,,,4,,,,,,"Block after Info Column",0,0,,,,01/10/17 08:17 AM,01/10/17 08:17 AM,,"Use config","Use config",,0,,,07/25/16,"M",,"for_sale",1,,1,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
1093,,"Default","simple",,"coton"," "," ",1700,,,,,1,,,,,,,,,,,,,1,,,,4,,,,,,"Block after Info Column",0,0,,,,01/10/17 08:17 AM,01/10/17 08:17 AM,,"Use config","Use config",,0,,,09/01/16,"M",,"for_sale",1,,1,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
1183,,"Default","simple",,"coton"," "," ",1700,,,,,1,,,,,,,,,,,,,1,,,,4,,,,,,"Block after Info Column",0,0,,,,01/10/17 08:17 AM,01/10/17 08:17 AM,,"Use config","Use config",,0,,,10/20/16,"M",,"for_sale",1,,1,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
1184,,"Default","simple",,"coton"," "," ",1700,,,,,1,,,,,,,,,,,,,1,,,,4,,,,,,"Block after Info Column",0,0,,,,01/10/17 08:17 AM,01/10/17 08:17 AM,,"Use config","Use config",,0,,,10/20/16,"F",,"for_sale",1,,1,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
1036,,"Default","simple",,"english bulldog"," "," ",3150,,,,,1,,,,,,,,,,,,,1,,,,4,,,,,,"Block after Info Column",0,0,,,,01/10/17 08:17 AM,01/10/17 08:17 AM,,"Use config","Use config",,0,,,08/11/16,"F",,"for_sale",1,,1,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
1017,,"Default","simple",,"french bulldog"," "," ",3200,,,,,1,,,,,,,,,,,,,1,,,,4,,,,,,"Block after Info Column",0,0,,,,01/10/17 08:17 AM,01/10/17 08:17 AM,,"Use config","Use config",,0,,,07/16/16,"M",,"for_sale",1,,1,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
1069,,"Default","simple",,"french bulldog"," "," ",3500,,,,,1,,,,,,,,,,,,,1,,,,4,,,,,,"Block after Info Column",0,0,,,,01/10/17 08:17 AM,01/10/17 08:17 AM,,"Use config","Use config",,0,,,08/14/16,"M",,"for_sale",1,,1,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
8381,,"Default","simple",,"french bulldog"," "," ",2950,,,,,1,,,,,,,,,,,,,1,,,,4,,,,,,"Block after Info Column",0,0,,,,01/10/17 08:17 AM,01/10/17 08:17 AM,,"Use config","Use config",,0,,,05/30/16,"M",,"for_sale",1,,1,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
1131,,"Default","simple",,"german sheperd"," "," ",2000,,,,,1,,,,,,,,,,,,,1,,,,4,,,,,,"Block after Info Column",0,0,,,,01/10/17 08:17 AM,01/10/17 08:17 AM,,"Use config","Use config",,0,,,09/23/16,"F",,"for_sale",1,,1,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
1175,,"Default","simple",,"german sheperd"," "," ",2400,,,,,1,,,,,,,,,,,,,1,,,,4,,,,,,"Block after Info Column",0,0,,,,01/10/17 08:17 AM,01/10/17 08:17 AM,,"Use config","Use config",,0,,,10/22/16,"M",,"for_sale",1,,1,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
1187,,"Default","simple",,"german sheperd"," "," ",2400,,,,,1,,,,,,,,,,,,,1,,,,4,,,,,,"Block after Info Column",0,0,,,,01/10/17 08:17 AM,01/10/17 08:17 AM,,"Use config","Use config",,0,,,10/20/16,"F",,"for_sale",1,,1,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
1158,,"Default","simple",,"golden retriever"," "," ",1900,,,,,1,,,,,,,,,,,,,1,,,,4,,,,,,"Block after Info Column",0,0,,,,01/10/17 08:17 AM,01/10/17 08:17 AM,,"Use config","Use config",,0,,,10/10/16,"F",,"for_sale",1,,1,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
1141,,"Default","simple",,"golden retriever"," "," ",1900,,,,,1,,,,,,,,,,,,,1,,,,4,,,,,,"Block after Info Column",0,0,,,,01/10/17 08:17 AM,01/10/17 08:17 AM,,"Use config","Use config",,0,,,10/06/16,"F",,"for_sale",1,,1,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
1150,,"Default","simple",,"golden retriever"," "," ",1900,,,,,1,,,,,,,,,,,,,1,,,,4,,,,,,"Block after Info Column",0,0,,,,01/10/17 08:17 AM,01/10/17 08:17 AM,,"Use config","Use config",,0,,,09/29/16,"F",,"for_sale",1,,1,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
1045,,"Default","simple",,"havachon"," "," ",1500,,,,,1,,,,,,,,,,,,,1,,,,4,,,,,,"Block after Info Column",0,0,,,,01/10/17 08:17 AM,01/10/17 08:17 AM,,"Use config","Use config",,0,,,08/07/16,"M",,"for_sale",1,,1,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
1112,,"Default","simple","base","havanese","havanese ","havanese ",1700,,,,,1,,,,,"/1/1/1112_havapoo.jpg","/1/1/1112_havapoo.jpg","/1/1/1112_havapoo.jpg",,,,,,1,"havanese","havanese-34.html",,4,,,,,,"Block after Info Column",0,0,,,,01/10/17 08:17 AM,01/11/17 10:09 AM,,"Use config","Use config",,0,,"No",09/08/16,"M",,"for_sale",1,,1,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,80,"/1/1/1112_havapoo.jpg",,1,0
,"default",,,,,,,,,,,,,,,,,,,,,,,,,,,"havanese-36.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128,,"Default","simple","base","havanese","Clubs, Registries & Associations

American Canine Association
Continental Kennel Club
Universal Kennel Club International
American Kennel Club
United All Breed Registry
America's Pet Registry, Inc.
United Kennel Club
(Based on breed recognition. See store for details on this particular puppy.)

Group

Toy

Heritage

The Havanese is the National Dog of Cuba, arriving there from Europe in the 17th century. A member of the Bichon family, the Havanese was known as the Havana Silk Dog and the Spanish Silk Poodle.

Description

Small, 8-11” at the shoulders, weighing anywhere from 7-14 pounds. The Havanese is a strong and sturdy little dog with a long (6-8”) double coat that comes in colors of white, cream, gold, brown, black, silver, blue, parti and tri-color. Both outer and under coats are soft and lightweight to ensure protection from the sun and as a cooling agent because this breed is from a tropical climate. This also means that this breed needs to be kept warm in cold temperatures, in spite of having a double coat.

Health Awareness

The Havanese Dog has a life expectancy of 14-16 years and is prone to hip dysplasia, eye issue, deafness, patellar luxation, and skin issues.

Personality

The Havanese is a gentle, devoted, affectionate, friendly and playful breed. Your Havanese is curious, observant, and highly intelligent. They are quick to learn what you teach them. They are also sensitive and harsh training methods will cause them to rebel. On the other hand, if you don’t exhibit leadership to your Havanese, they will attempt to give themselves their own leadership which can result behavior issues such as fear aggression. This breed needs a lot of early socialization, plus you need to be a calm, knowledgeable, and humane owner giving consistent and committed leadership to your Havanese using only motivational training methods. This breed can become shy and timid if not properly socialized, so be sure you give your Havanese plenty of socialization and allow him or her to be a dog and not a little human in a fur suit.

Exercise/Energy Level

The Havanese requires a daily walk or jog with off-leash play in a safe area. Get your veterinarian’s approval before exercising your Havanese in cold weather because this tropical breed does not do well in cold temperatures.

Additional Information

 Grooming Requirements:	 	Requires regular brushing and bathing
 Coat:	Long and Silky
 Shedding:	Light to no shedding
 Hypoallergenic:	Yes
 Apartment Living:	Good for apartment living if given sufficient exercise
 Lap Dog:	Yes
 Good With Children:	Good with all children when well socialized at an early age.
 Good With Other Pets:	Generally good with other pets when well socialized at an early age
"," The Havanese is the National Dog of Cuba, arriving there from Europe in the 17th century. A member of the Bichon family, the Havanese was known as the Havana Silk Dog and the Spanish Silk Poodle.",1700,,,,,7,,,,,"/1/1/1128_havanese.jpg","/1/1/1128_havanese.jpg","/1/1/1128_havanese.jpg",,,,,,1,"havanese","havanese-35.html",,4,,,,,,"Block after Info Column",0,0,,,,01/10/17 08:17 AM,01/11/17 10:54 AM,,"Use config","Use config",,0,,"No",09/20/16,"F",,"for_sale",1,,1,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,80,"/1/1/1128_havanese.jpg",,1,0
,"default",,,,,,,,,,,,,,,,,,,,,,,,,,,"havanese-37.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129,,"Default","simple",,"havanese"," "," ",1700,,,,,1,,,,,,,,,,,,,1,,,,4,,,,,,"Block after Info Column",0,0,,,,01/10/17 08:17 AM,01/10/17 08:17 AM,,"Use config","Use config",,0,,,09/20/16,"F",,"for_sale",1,,1,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
1137,,"Default","simple",,"havanese"," "," ",1700,,,,,1,,,,,,,,,,,,,1,,,,4,,,,,,"Block after Info Column",0,0,,,,01/10/17 08:17 AM,01/10/17 08:17 AM,,"Use config","Use config",,0,,,09/29/16,"F",,"for_sale",1,,1,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
1180,,"Default","simple",,"havanese"," "," ",2000,,,,,1,,,,,,,,,,,,,1,,,,4,,,,,,"Block after Info Column",0,0,,,,01/10/17 08:17 AM,01/10/17 08:17 AM,,"Use config","Use config",,0,,,10/20/16,"F",,"for_sale",1,,1,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
1181,,"Default","simple",,"havanese"," "," ",2000,,,,,1,,,,,,,,,,,,,1,,,,4,,,,,,"Block after Info Column",0,0,,,,01/10/17 08:17 AM,01/10/17 08:17 AM,,"Use config","Use config",,0,,,10/20/16,"F",,"for_sale",1,,1,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
1122,,"Default","simple","base","havapoo"," havapoo","havapoo ",1650,,,,,1,,,,,"/1/1/1122_havapoo.jpg","/1/1/1122_havapoo.jpg","/1/1/1122_havapoo.jpg",,,,,,1,"havapoo","havapoo-39.html",,4,,,,,,"Block after Info Column",0,0,,,,01/10/17 08:17 AM,01/11/17 07:28 PM,,"Use config","Use config",,0,,"No",09/20/16,"M",,"for_sale",1,,1,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,80,"/1/1/1122_havapoo.jpg",,1,0
,"default",,,,,,,,,,,,,,,,,,,,,,,,,,,"havapoo-40.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,,"Default","simple","base","havawheat","havawheat ","havawheat ",1550,,,,,1,,,,,"/1/1/1103_havawheat.jpg","/1/1/1103_havawheat.jpg","/1/1/1103_havawheat.jpg",,,,,,1,"havawheat","havawheat-40.html",,4,,,,,,"Block after Info Column",0,0,,,,01/10/17 08:17 AM,01/11/17 02:44 AM,,"Use config","Use config",,0,,"No",09/08/16,"M",,"for_sale",1,,1,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,80,"/1/1/1103_havawheat.jpg",,1,0
,"default",,,,,,,,,,,,,,,,,,,,,,,,,,,"havawheat-41.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054,,"Default","simple",,"jack russel"," "," ",1650,,,,,1,,,,,,,,,,,,,1,,,,4,,,,,,"Block after Info Column",0,0,,,,01/10/17 08:17 AM,01/10/17 08:17 AM,,"Use config","Use config",,0,,,08/16/16,"M",,"for_sale",1,,1,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
1055,,"Default","simple",,"jack russel"," "," ",1650,,,,,1,,,,,,,,,,,,,1,,,,4,,,,,,"Block after Info Column",0,0,,,,01/10/17 08:17 AM,01/10/17 08:17 AM,,"Use config","Use config",,0,,,08/16/16,"M",,"for_sale",1,,1,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
1151,,"Default","simple",,"lab"," "," ",1650,,,,,1,,,,,,,,,,,,,1,,,,4,,,,,,"Block after Info Column",0,0,,,,01/10/17 08:17 AM,01/10/17 08:17 AM,,"Use config","Use config",,0,,,09/28/16,"F",,"for_sale",1,,1,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
1192,,"Default","simple",,"lab"," "," ",1850,,,,,1,,,,,,,,,,,,,1,,,,4,,,,,,"Block after Info Column",0,0,,,,01/10/17 08:17 AM,01/10/17 08:17 AM,,"Use config","Use config",,0,,,10/16/16,"F",,"for_sale",1,,1,0,1,0,0,1,1,1,10000,1,1,1,1,1,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
